N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.383
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_5nov2013_Aposn

begin header for RandD1_TiN_5nov2013_Aposn [ Tue, 11/5/2013 10:10:19.7543 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.383
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_5nov2013_Aposn

begin header for RandD1_TiN_5nov2013_Aposn [ Tue, 11/5/2013 10:42:01.7874 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.383
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_5nov2013_Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 11/5/2013 10:42:02.4124 AM ]
sweeping platen back and forth 1018.0 times at 1.99945641026 RPM
starting sweep 121 of 1018 [ Tue, 11/5/2013 10:43:28.6177 AM ]
starting sweep 122 of 1018 [ Tue, 11/5/2013 10:43:29.3209 AM ]
starting sweep 123 of 1018 [ Tue, 11/5/2013 10:43:30.0396 AM ]
starting sweep 124 of 1018 [ Tue, 11/5/2013 10:43:30.7428 AM ]
starting sweep 125 of 1018 [ Tue, 11/5/2013 10:43:31.4616 AM ]
starting sweep 126 of 1018 [ Tue, 11/5/2013 10:43:32.1803 AM ]
starting sweep 127 of 1018 [ Tue, 11/5/2013 10:43:32.8835 AM ]
starting sweep 128 of 1018 [ Tue, 11/5/2013 10:43:33.6022 AM ]
starting sweep 129 of 1018 [ Tue, 11/5/2013 10:43:34.3054 AM ]
starting sweep 130 of 1018 [ Tue, 11/5/2013 10:43:35.0242 AM ]
starting sweep 131 of 1018 [ Tue, 11/5/2013 10:43:35.7273 AM ]
starting sweep 132 of 1018 [ Tue, 11/5/2013 10:43:36.4461 AM ]
starting sweep 133 of 1018 [ Tue, 11/5/2013 10:43:37.1492 AM ]
starting sweep 134 of 1018 [ Tue, 11/5/2013 10:43:37.8680 AM ]
starting sweep 135 of 1018 [ Tue, 11/5/2013 10:43:38.5711 AM ]
starting sweep 136 of 1018 [ Tue, 11/5/2013 10:43:39.2899 AM ]
starting sweep 137 of 1018 [ Tue, 11/5/2013 10:43:39.9930 AM ]
starting sweep 138 of 1018 [ Tue, 11/5/2013 10:43:40.7118 AM ]
starting sweep 139 of 1018 [ Tue, 11/5/2013 10:43:41.4149 AM ]
starting sweep 140 of 1018 [ Tue, 11/5/2013 10:43:42.1337 AM ]
starting sweep 141 of 1018 [ Tue, 11/5/2013 10:43:42.8369 AM ]
starting sweep 142 of 1018 [ Tue, 11/5/2013 10:43:43.5556 AM ]
starting sweep 143 of 1018 [ Tue, 11/5/2013 10:43:44.2744 AM ]
starting sweep 144 of 1018 [ Tue, 11/5/2013 10:43:44.9775 AM ]
starting sweep 145 of 1018 [ Tue, 11/5/2013 10:43:45.6807 AM ]
starting sweep 146 of 1018 [ Tue, 11/5/2013 10:43:46.3994 AM ]
starting sweep 147 of 1018 [ Tue, 11/5/2013 10:43:47.1182 AM ]
starting sweep 148 of 1018 [ Tue, 11/5/2013 10:43:47.8370 AM ]
starting sweep 149 of 1018 [ Tue, 11/5/2013 10:43:48.5401 AM ]
starting sweep 150 of 1018 [ Tue, 11/5/2013 10:43:49.2433 AM ]
starting sweep 151 of 1018 [ Tue, 11/5/2013 10:43:49.9620 AM ]
starting sweep 152 of 1018 [ Tue, 11/5/2013 10:43:50.6652 AM ]
starting sweep 153 of 1018 [ Tue, 11/5/2013 10:43:51.3839 AM ]
starting sweep 154 of 1018 [ Tue, 11/5/2013 10:43:52.0871 AM ]
starting sweep 155 of 1018 [ Tue, 11/5/2013 10:43:52.8059 AM ]
starting sweep 156 of 1018 [ Tue, 11/5/2013 10:43:53.5246 AM ]
starting sweep 157 of 1018 [ Tue, 11/5/2013 10:43:54.2278 AM ]
starting sweep 158 of 1018 [ Tue, 11/5/2013 10:43:54.9465 AM ]
starting sweep 159 of 1018 [ Tue, 11/5/2013 10:43:55.6653 AM ]
starting sweep 160 of 1018 [ Tue, 11/5/2013 10:43:56.3684 AM ]
starting sweep 161 of 1018 [ Tue, 11/5/2013 10:43:57.0872 AM ]
starting sweep 162 of 1018 [ Tue, 11/5/2013 10:43:57.7904 AM ]
starting sweep 163 of 1018 [ Tue, 11/5/2013 10:43:58.5091 AM ]
starting sweep 164 of 1018 [ Tue, 11/5/2013 10:43:59.2279 AM ]
starting sweep 165 of 1018 [ Tue, 11/5/2013 10:43:59.9310 AM ]
starting sweep 166 of 1018 [ Tue, 11/5/2013 10:44:00.6342 AM ]
starting sweep 167 of 1018 [ Tue, 11/5/2013 10:44:01.3530 AM ]
starting sweep 168 of 1018 [ Tue, 11/5/2013 10:44:02.0561 AM ]
starting sweep 169 of 1018 [ Tue, 11/5/2013 10:44:02.7749 AM ]
starting sweep 170 of 1018 [ Tue, 11/5/2013 10:44:03.4936 AM ]
starting sweep 171 of 1018 [ Tue, 11/5/2013 10:44:04.1968 AM ]
starting sweep 172 of 1018 [ Tue, 11/5/2013 10:44:04.8999 AM ]
starting sweep 173 of 1018 [ Tue, 11/5/2013 10:44:05.6187 AM ]
starting sweep 174 of 1018 [ Tue, 11/5/2013 10:44:06.3218 AM ]
starting sweep 175 of 1018 [ Tue, 11/5/2013 10:44:07.0406 AM ]
starting sweep 176 of 1018 [ Tue, 11/5/2013 10:44:07.7437 AM ]
starting sweep 177 of 1018 [ Tue, 11/5/2013 10:44:08.4625 AM ]
starting sweep 178 of 1018 [ Tue, 11/5/2013 10:44:09.1657 AM ]
starting sweep 179 of 1018 [ Tue, 11/5/2013 10:44:09.8844 AM ]
starting sweep 180 of 1018 [ Tue, 11/5/2013 10:44:10.6032 AM ]
starting sweep 181 of 1018 [ Tue, 11/5/2013 10:44:11.3063 AM ]
starting sweep 182 of 1018 [ Tue, 11/5/2013 10:44:12.0251 AM ]
starting sweep 183 of 1018 [ Tue, 11/5/2013 10:44:12.7282 AM ]
starting sweep 184 of 1018 [ Tue, 11/5/2013 10:44:13.4470 AM ]
starting sweep 185 of 1018 [ Tue, 11/5/2013 10:44:14.1502 AM ]
starting sweep 186 of 1018 [ Tue, 11/5/2013 10:44:14.8689 AM ]
starting sweep 187 of 1018 [ Tue, 11/5/2013 10:44:15.5721 AM ]
starting sweep 188 of 1018 [ Tue, 11/5/2013 10:44:16.2908 AM ]
starting sweep 189 of 1018 [ Tue, 11/5/2013 10:44:17.0096 AM ]
starting sweep 190 of 1018 [ Tue, 11/5/2013 10:44:17.7127 AM ]
starting sweep 191 of 1018 [ Tue, 11/5/2013 10:44:18.4315 AM ]
starting sweep 192 of 1018 [ Tue, 11/5/2013 10:44:19.1503 AM ]
starting sweep 193 of 1018 [ Tue, 11/5/2013 10:44:19.8534 AM ]
starting sweep 194 of 1018 [ Tue, 11/5/2013 10:44:20.5722 AM ]
starting sweep 195 of 1018 [ Tue, 11/5/2013 10:44:21.2910 AM ]
starting sweep 196 of 1018 [ Tue, 11/5/2013 10:44:22.0097 AM ]
starting sweep 197 of 1018 [ Tue, 11/5/2013 10:44:22.7285 AM ]
starting sweep 198 of 1018 [ Tue, 11/5/2013 10:44:23.4316 AM ]
starting sweep 199 of 1018 [ Tue, 11/5/2013 10:44:24.1504 AM ]
starting sweep 200 of 1018 [ Tue, 11/5/2013 10:44:24.8692 AM ]
starting sweep 201 of 1018 [ Tue, 11/5/2013 10:44:25.5879 AM ]
starting sweep 202 of 1018 [ Tue, 11/5/2013 10:44:26.2911 AM ]
starting sweep 203 of 1018 [ Tue, 11/5/2013 10:44:26.9942 AM ]
starting sweep 204 of 1018 [ Tue, 11/5/2013 10:44:27.7130 AM ]
starting sweep 205 of 1018 [ Tue, 11/5/2013 10:44:28.4318 AM ]
starting sweep 206 of 1018 [ Tue, 11/5/2013 10:44:29.1349 AM ]
starting sweep 207 of 1018 [ Tue, 11/5/2013 10:44:29.8537 AM ]
starting sweep 208 of 1018 [ Tue, 11/5/2013 10:44:30.5724 AM ]
starting sweep 209 of 1018 [ Tue, 11/5/2013 10:44:31.2756 AM ]
starting sweep 210 of 1018 [ Tue, 11/5/2013 10:44:31.9944 AM ]
starting sweep 211 of 1018 [ Tue, 11/5/2013 10:44:32.7131 AM ]
starting sweep 212 of 1018 [ Tue, 11/5/2013 10:44:33.4319 AM ]
starting sweep 213 of 1018 [ Tue, 11/5/2013 10:44:34.1350 AM ]
starting sweep 214 of 1018 [ Tue, 11/5/2013 10:44:34.8538 AM ]
starting sweep 215 of 1018 [ Tue, 11/5/2013 10:44:35.5726 AM ]
starting sweep 216 of 1018 [ Tue, 11/5/2013 10:44:36.2757 AM ]
starting sweep 217 of 1018 [ Tue, 11/5/2013 10:44:36.9945 AM ]
starting sweep 218 of 1018 [ Tue, 11/5/2013 10:44:37.6976 AM ]
starting sweep 219 of 1018 [ Tue, 11/5/2013 10:44:38.4164 AM ]
starting sweep 220 of 1018 [ Tue, 11/5/2013 10:44:39.1352 AM ]
starting sweep 221 of 1018 [ Tue, 11/5/2013 10:44:39.8383 AM ]
starting sweep 222 of 1018 [ Tue, 11/5/2013 10:44:40.5571 AM ]
starting sweep 223 of 1018 [ Tue, 11/5/2013 10:44:41.2602 AM ]
starting sweep 224 of 1018 [ Tue, 11/5/2013 10:44:41.9790 AM ]
starting sweep 225 of 1018 [ Tue, 11/5/2013 10:44:42.6821 AM ]
starting sweep 226 of 1018 [ Tue, 11/5/2013 10:44:43.4009 AM ]
starting sweep 227 of 1018 [ Tue, 11/5/2013 10:44:44.1040 AM ]
