N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.275
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_3sept2013_Run1_Aposn

begin header for RandD1_TiN_3sept2013_Run1_Aposn [ Tue, 9/3/2013 07:25:25.3281 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.275
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_3sept2013_Run1_Aposn

begin header for RandD1_TiN_3sept2013_Run1_Aposn [ Tue, 9/3/2013 07:42:28.6093 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.275
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_3sept2013_Run1_Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 9/3/2013 07:42:29.2656 AM ]
sweeping platen back and forth 1418.0 times at 1.99974358974 RPM
starting sweep 185 of 1418 [ Tue, 9/3/2013 07:44:41.0468 AM ]
starting sweep 186 of 1418 [ Tue, 9/3/2013 07:44:41.7500 AM ]
starting sweep 187 of 1418 [ Tue, 9/3/2013 07:44:42.4687 AM ]
starting sweep 188 of 1418 [ Tue, 9/3/2013 07:44:43.1875 AM ]
starting sweep 189 of 1418 [ Tue, 9/3/2013 07:44:43.8906 AM ]
starting sweep 190 of 1418 [ Tue, 9/3/2013 07:44:44.6093 AM ]
starting sweep 191 of 1418 [ Tue, 9/3/2013 07:44:45.3281 AM ]
starting sweep 192 of 1418 [ Tue, 9/3/2013 07:44:46.0468 AM ]
starting sweep 193 of 1418 [ Tue, 9/3/2013 07:44:46.7500 AM ]
starting sweep 194 of 1418 [ Tue, 9/3/2013 07:44:47.4687 AM ]
starting sweep 195 of 1418 [ Tue, 9/3/2013 07:44:48.1875 AM ]
starting sweep 196 of 1418 [ Tue, 9/3/2013 07:44:48.9062 AM ]
starting sweep 197 of 1418 [ Tue, 9/3/2013 07:44:49.6250 AM ]
starting sweep 198 of 1418 [ Tue, 9/3/2013 07:44:50.3437 AM ]
starting sweep 199 of 1418 [ Tue, 9/3/2013 07:44:51.0625 AM ]
starting sweep 200 of 1418 [ Tue, 9/3/2013 07:44:51.7656 AM ]
starting sweep 201 of 1418 [ Tue, 9/3/2013 07:44:52.4843 AM ]
starting sweep 202 of 1418 [ Tue, 9/3/2013 07:44:53.2031 AM ]
starting sweep 203 of 1418 [ Tue, 9/3/2013 07:44:53.9062 AM ]
starting sweep 204 of 1418 [ Tue, 9/3/2013 07:44:54.6250 AM ]
starting sweep 205 of 1418 [ Tue, 9/3/2013 07:44:55.3437 AM ]
starting sweep 206 of 1418 [ Tue, 9/3/2013 07:44:56.0625 AM ]
starting sweep 207 of 1418 [ Tue, 9/3/2013 07:44:56.7812 AM ]
starting sweep 208 of 1418 [ Tue, 9/3/2013 07:44:57.4843 AM ]
starting sweep 209 of 1418 [ Tue, 9/3/2013 07:44:58.2031 AM ]
starting sweep 210 of 1418 [ Tue, 9/3/2013 07:44:58.9062 AM ]
starting sweep 211 of 1418 [ Tue, 9/3/2013 07:44:59.6250 AM ]
starting sweep 212 of 1418 [ Tue, 9/3/2013 07:45:00.3281 AM ]
starting sweep 213 of 1418 [ Tue, 9/3/2013 07:45:01.0468 AM ]
starting sweep 214 of 1418 [ Tue, 9/3/2013 07:45:01.7500 AM ]
starting sweep 215 of 1418 [ Tue, 9/3/2013 07:45:02.4687 AM ]
starting sweep 216 of 1418 [ Tue, 9/3/2013 07:45:03.1875 AM ]
starting sweep 217 of 1418 [ Tue, 9/3/2013 07:45:03.9062 AM ]
starting sweep 218 of 1418 [ Tue, 9/3/2013 07:45:04.6093 AM ]
starting sweep 219 of 1418 [ Tue, 9/3/2013 07:45:05.3281 AM ]
starting sweep 220 of 1418 [ Tue, 9/3/2013 07:45:06.0312 AM ]
starting sweep 221 of 1418 [ Tue, 9/3/2013 07:45:06.7500 AM ]
starting sweep 222 of 1418 [ Tue, 9/3/2013 07:45:07.4531 AM ]
starting sweep 223 of 1418 [ Tue, 9/3/2013 07:45:08.1718 AM ]
starting sweep 224 of 1418 [ Tue, 9/3/2013 07:45:08.8750 AM ]
